Address,Area,Dorms,Baths,Parking Slots,Condominio,IPTU,Price
"Rua das Laranjeiras, Laranjeiras","
        71 - 201 m²
        ","
        2 - 4 
        ","
        1 
        ",NULL,NULL,NULL,"
    Sob consulta
  "
"Rua Pereira da Silva, Laranjeiras","
        73 - 124 m²
        ","
        2 - 3 
        ","
        3 
        ","
        1 - 2 
        ",NULL,NULL,"
    R$ 960.000
    /venda"
"Rua Voluntários da Pátria, Botafogo","
        113 - 116 m²
        ","
        3 
        ","
        2 
        ","
        1 
        ",NULL,NULL,"
    R$ 1.665.000
    /venda"
"Rua Marquês de Paraná, Flamengo","
        77 m²
        ","
        2 
        ","
        1 
        ","
        1 
        ",R$ 930,R$ 180,"
    R$ 730.000
    /venda"
"Rua Marquês de Paraná, Flamengo","
        44 m²
        ","
        2 
        ","
        1 
        ",NULL,R$ 552,R$ 79,"
    R$ 510.000
    /venda"
"Rua Marquês de Paraná, Flamengo","
        44 m²
        ","
        1 
        ","
        2 
        ",NULL,R$ 497,R$ 345,"
    R$ 510.000
    /venda"
"Rua Marquês de Paraná, Flamengo","
        65 m²
        ","
        2 
        ","
        2 
        ",NULL,R$ 478,R$ 1.544,"
    R$ 580.000
    /venda"
"Rua Marquês de Paraná, Flamengo","
        127 m²
        ","
        3 
        ","
        3 
        ",NULL,R$ 1.038,R$ 2.824,"
    R$ 900.000
    /venda"
"Rua Marquês de Paraná, Flamengo","
        63 m²
        ","
        2 
        ","
        2 
        ",NULL,R$ 478,R$ 1.544,"
    R$ 650.000
    /venda"
"Rua Marquês de Paraná, Flamengo","
        76 m²
        ","
        2 
        ","
        1 
        ",NULL,R$ 540,R$ 162,"
    R$ 690.000
    /venda"
"Rua Marquês de Paraná, Flamengo","
        78 m²
        ","
        2 
        ","
        2 
        ","
        1 
        ",R$ 814,R$ 125,"
    R$ 676.000
    /venda"
"Rua Marquês de Paraná, Flamengo","
        57 m²
        ","
        2 
        ","
        2 
        ",NULL,R$ 645,R$ 1.147,"
    R$ 570.000
    /venda"
"Rua Marquês de Paraná, Flamengo","
        57 m²
        ","
        2 
        ","
        2 
        ",NULL,R$ 645,R$ 1.147,"
    R$ 630.000
    /venda"
"Flamengo, Rio de Janeiro","
        78 m²
        ","
        2 
        ","
        2 
        ","
        1 
        ",R$ 800,R$ 134,"
    R$ 710.000
    /venda"
"Rua Marquês de Paraná, Flamengo","
        70 m²
        ","
        2 
        ","
        2 
        ",NULL,NULL,NULL,"
    R$ 650.000
    /venda"
"Rua Marquês de Paraná, Flamengo","
        57 m²
        ","
        2 
        ","
        2 
        ",NULL,R$ 640,R$ 900,"
    R$ 650.000
    /venda"
"Rua Marquês de Paraná, Flamengo","
        57 m²
        ","
        2 
        ","
        2 
        ",NULL,R$ 645,R$ 1.147,"
    R$ 600.000
    /venda"
"Rua Marquês de Paraná, Flamengo","
        85 m²
        ","
        2 
        ","
        2 
        ",NULL,R$ 1.200,R$ 200,"
    R$ 650.000
    /venda"
"Rua Marquês de Paraná, Flamengo","
        90 m²
        ","
        2 
        ","
        2 
        ",NULL,R$ 1.200,R$ 1.266,"
    R$ 650.000
    /venda"
"Rua Marquês de Paraná, Flamengo","
        53 m²
        ","
        1 
        ","
        2 
        ","
        1 
        ",R$ 681,R$ 1.042,"
    R$ 590.000
    /venda"
"Rua Marquês de Paraná, Flamengo","
        57 m²
        ","
        2 
        ","
        2 
        ",NULL,R$ 645,R$ 1.150,"
    R$ 600.000
    /venda"
"Rua Marquês de Paraná, Flamengo","
        130 m²
        ","
        3 
        ","
        3 
        ",NULL,R$ 1.020,R$ 2.934,"
    R$ 900.000
    /venda"
"Rua Marquês de Paraná, Flamengo","
        84 m²
        ","
        2 
        ","
        2 
        ","
        1 
        ",R$ 1.300,R$ 169,"
    R$ 650.000
    /venda"
"Rua Marquês de Paraná, Flamengo","
        52 m²
        ","
        2 
        ","
        1 
        ",NULL,R$ 700,R$ 1.127,"
    R$ 645.000
    /venda"
"Rua Urbano Santos, Urca","
        163 - 165 m²
        ","
        3 
        ","
        3 
        ","
        1 - 2 
        ",NULL,NULL,"
    R$ 1.855.000
    /venda"
"Avenida Lauro Sodré, Botafogo","
        72 - 339 m²
        ","
        2 - 4 
        ","
        1 - 2 
        ","
        1 - 2 
        ",NULL,NULL,"
    Sob consulta
  "
"Avenida Lauro Sodré, Botafogo","
        72 m²
        ","
        2 - 3 
        ","
        1 - 3 
        ","
        1 - 2 
        ",NULL,NULL,"
    R$ 1.204.900
    /venda"
"Rua Marquês de Paraná, Flamengo","
        90 m²
        ","
        2 
        ","
        2 
        ",NULL,R$ 1.200,R$ 1.100,"
    R$ 600.000
    /venda"
"Flamengo, Rio de Janeiro","
        127 m²
        ","
        3 
        ","
        2 
        ",NULL,R$ 1.139,R$ 199,"
    R$ 900.000
    /venda"
"Rua Marquês de Paraná, Flamengo","
        44 m²
        ","
        1 
        ","
        1 
        ",NULL,R$ 560,R$ 829,"
    R$ 508.000
    /venda"
"Flamengo, Rio de Janeiro","
        70 m²
        ","
        2 
        ","
        1 
        ",NULL,R$ 612,R$ 148,"
    R$ 750.000
    /venda"
"Rua Marquês de Paraná, Flamengo","
        121 m²
        ","
        3 
        ","
        3 
        ",NULL,R$ 1.038,R$ 293,"
    R$ 1.000.000
    /venda"
