Address,Area,Dorms,Baths,Parking Slots,Condominio,IPTU,Price
"Rua das Laranjeiras, Laranjeiras","
        71 - 201 m²
        ","
        2 - 4 
        ","
        1 
        ",NULL,NULL,NULL,"
    Sob consulta
  "
"Rua Pereira da Silva, Laranjeiras","
        73 - 124 m²
        ","
        2 - 3 
        ","
        3 
        ","
        1 - 2 
        ",NULL,NULL,"
    R$ 960.000
    /venda"
"Rua Voluntários da Pátria, Botafogo","
        113 - 116 m²
        ","
        3 
        ","
        2 
        ","
        1 
        ",NULL,NULL,"
    R$ 1.665.000
    /venda"
"Rua Cruz Lima, Flamengo","
        210 m²
        ","
        3 
        ","
        2 
        ",NULL,R$ 1.972,R$ 5.000,"
    R$ 870.000
    /venda"
"Rua Cruz Lima, Flamengo","
        79 m²
        ","
        2 
        ","
        3 
        ","
        1 
        ",R$ 1.000,R$ 214,"
    R$ 890.000
    /venda"
"Rua Cruz Lima, Flamengo","
        75 m²
        ","
        2 
        ","
        2 
        ","
        1 
        ",R$ 1.000,NULL,"
    R$ 898.000
    /venda"
"Rua Cruz Lima, Flamengo","
        79 m²
        ","
        2 
        ","
        3 
        ","
        1 
        ",R$ 1.000,R$ 2.148,"
    R$ 890.000
    /venda"
"Rua Cruz Lima, Flamengo","
        79 m²
        ","
        2 
        ","
        2 
        ",NULL,R$ 1.000,R$ 214,"
    R$ 890.000
    /venda"
"Rua Cruz Lima, Flamengo","
        79 m²
        ","
        2 
        ","
        3 
        ","
        1 
        ",R$ 1.000,R$ 214,"
    R$ 890.000
    /venda"
"Rua Cruz Lima, Flamengo","
        140 m²
        ","
        4 
        ","
        4 
        ","
        1 
        ",R$ 1.988,R$ 403,"
    R$ 1.700.000
    /venda"
"Rua Cruz Lima, Flamengo","
        79 m²
        ","
        2 
        ","
        3 
        ","
        1 
        ",R$ 1.000,R$ 214,"
    R$ 890.000
    /venda"
"Rua Cruz Lima, Flamengo","
        150 m²
        ","
        4 
        ","
        4 
        ","
        1 
        ",R$ 1.500,R$ 402,"
    R$ 1.580.000
    /venda"
"Rua Cruz Lima, Flamengo","
        153 m²
        ","
        3 
        ","
        3 
        ","
        1 
        ",R$ 1.529,NULL,"
    R$ 1.490.000
    /venda"
"Rua Cruz Lima, Flamengo","
        153 m²
        ","
        4 
        ","
        3 
        ","
        1 
        ",R$ 1.528,R$ 350,"
    R$ 1.450.000
    /venda"
"Rua Cruz Lima, Flamengo","
        210 m²
        ","
        3 
        ","
        4 
        ",NULL,NULL,NULL,"
    R$ 1.750.000
    /venda"
"Rua Cruz Lima, Flamengo","
        210 m²
        ","
        3 
        ","
        2 
        ",NULL,R$ 1.972,R$ 5.000,"
    R$ 1.750.000
    /venda"
"Rua Cruz Lima, Flamengo","
        94 m²
        ","
        3 
        ","
        2 
        ","
        1 
        ",R$ 1.390,R$ 227,"
    R$ 890.000
    /venda"
"Rua Cruz Lima, Flamengo","
        94 m²
        ","
        3 
        ","
        3 
        ","
        1 
        ",R$ 1.390,R$ 233,"
    R$ 890.000
    /venda"
"Rua Cruz Lima, Flamengo","
        115 m²
        ","
        3 
        ","
        3 
        ","
        1 
        ",R$ 1.359,R$ 277,"
    R$ 1.170.000
    /venda"
"Flamengo, Rio de Janeiro","
        80 m²
        ","
        2 
        ","
        3 
        ","
        1 
        ",R$ 657,R$ 2.140,"
    R$ 890.000
    /venda"
"Rua Cruz Lima, Flamengo","
        150 m²
        ","
        4 
        ","
        4 
        ","
        1 
        ",R$ 1.500,R$ 402,"
    R$ 1.580.000
    /venda"
"Rua Cruz Lima, Flamengo","
        115 m²
        ","
        3 
        ","
        2 
        ","
        1 
        ",R$ 1.490,R$ 2.500,"
    R$ 1.230.000
    /venda"
"Rua Cruz Lima, Flamengo","
        104 m²
        ","
        3 
        ","
        2 
        ","
        1 
        ",R$ 1.467,R$ 255,"
    R$ 1.050.000
    /venda"
"Rua Cruz Lima, Flamengo","
        150 m²
        ","
        4 
        ","
        4 
        ","
        1 
        ",R$ 1.900,R$ 354,"
    R$ 1.690.000
    /venda"
"Rua Urbano Santos, Urca","
        163 - 165 m²
        ","
        3 
        ","
        3 
        ","
        1 - 2 
        ",NULL,NULL,"
    R$ 1.855.000
    /venda"
"Avenida Lauro Sodré, Botafogo","
        72 - 339 m²
        ","
        2 - 4 
        ","
        1 - 2 
        ","
        1 - 2 
        ",NULL,NULL,"
    Sob consulta
  "
"Avenida Lauro Sodré, Botafogo","
        72 m²
        ","
        2 - 3 
        ","
        1 - 3 
        ","
        1 - 2 
        ",NULL,NULL,"
    R$ 1.204.900
    /venda"
"Flamengo, Rio de Janeiro","
        180 m²
        ","
        3 
        ","
        2 
        ",NULL,R$ 1.865,R$ 448,"
    R$ 1.100.000
    /venda"
"Rua Cruz Lima, Flamengo","
        210 m²
        ","
        3 
        ","
        4 
        ",NULL,R$ 1.950,R$ 5.150,"
    R$ 1.800.000
    /venda"
"Rua Cruz Lima, Flamengo","
        180 m²
        ","
        3 
        ","
        2 
        ",NULL,R$ 1.972,R$ 388,"
    R$ 1.100.000
    /venda"
"Rua Cruz Lima, Flamengo","
        135 m²
        ","
        3 
        ","
        2 
        ","
        1 
        ",R$ 1.450,NULL,"
    R$ 1.150.000
    /venda"
"Flamengo, Rio de Janeiro","
        180 m²
        ","
        3 
        ","
        3 
        ",NULL,R$ 1.971,R$ 400,"
    R$ 1.100.000
    /venda"
