Address,Area,Dorms,Baths,Parking Slots,Condominio,IPTU,Price
"Rua das Laranjeiras, Laranjeiras","
        71 - 201 m²
        ","
        2 - 4 
        ","
        1 
        ",NULL,NULL,NULL,"
    Sob consulta
  "
"Rua Pereira da Silva, Laranjeiras","
        73 - 124 m²
        ","
        2 - 3 
        ","
        3 
        ","
        1 - 2 
        ",NULL,NULL,"
    R$ 960.000
    /venda"
"Avenida Lauro Sodré, Botafogo","
        72 - 339 m²
        ","
        2 - 4 
        ","
        1 - 2 
        ","
        1 - 2 
        ",NULL,NULL,"
    Sob consulta
  "
"Avenida Oswaldo Cruz, Flamengo","
        97 m²
        ","
        2 
        ","
        2 
        ","
        1 
        ",R$ 990,R$ 329,"
    R$ 1.400.000
    /venda"
"Avenida Oswaldo Cruz, Flamengo","
        95 m²
        ","
        3 
        ","
        3 
        ","
        1 
        ",R$ 863,R$ 1.600,"
    R$ 845.000
    /venda"
"Avenida Oswaldo Cruz, Flamengo","
        51 m²
        ","
        2 
        ","
        1 
        ",NULL,R$ 800,NULL,"
    R$ 256.000
    /venda"
"Avenida Oswaldo Cruz, Flamengo","
        51 m²
        ","
        1 
        ","
        1 
        ",NULL,NULL,NULL,"
    R$ 256.000
    /venda"
"Avenida Oswaldo Cruz, Flamengo","
        75 m²
        ","
        2 
        ","
        2 
        ",NULL,R$ 680,R$ 1.450,"
    R$ 555.000
    /venda"
"Avenida Oswaldo Cruz, Flamengo","
        70 m²
        ","
        2 
        ","
        2 
        ",NULL,R$ 580,R$ 181,"
    R$ 700.000
    /venda"
"Avenida Oswaldo Cruz, Flamengo","
        70 m²
        ","
        2 
        ","
        1 
        ","
        1 
        ",R$ 650,R$ 130,"
    R$ 560.000
    /venda"
"Avenida Oswaldo Cruz, Flamengo","
        90 m²
        ","
        2 
        ","
        3 
        ","
        1 
        ",R$ 780,R$ 2.300,"
    R$ 890.000
    /venda"
"Avenida Oswaldo Cruz, Flamengo","
        80 m²
        ","
        2 
        ","
        2 
        ","
        1 
        ",R$ 1.060,R$ 250,"
    R$ 860.000
    /venda"
"Avenida Oswaldo Cruz, Flamengo","
        80 m²
        ","
        2 
        ","
        2 
        ",NULL,R$ 577,R$ 200,"
    R$ 650.000
    /venda"
"Avenida Oswaldo Cruz, Flamengo","
        75 m²
        ","
        2 
        ","
        2 
        ",NULL,R$ 635,R$ 1.900,"
    R$ 555.000
    /venda"
"Avenida Oswaldo Cruz, Flamengo","
        40 m²
        ","
        1 
        ","
        1 
        ",NULL,R$ 400,R$ 242,"
    R$ 550.000
    /venda"
"Avenida Oswaldo Cruz, Flamengo","
        72 m²
        ","
        2 
        ","
        2 
        ",NULL,R$ 575,R$ 1.223,"
    R$ 795.000
    /venda"
"Avenida Oswaldo Cruz, Flamengo","
        84 m²
        ","
        2 
        ","
        2 
        ",NULL,R$ 643,R$ 214,"
    R$ 680.000
    /venda"
"Avenida Oswaldo Cruz, Flamengo","
        84 m²
        ","
        2 
        ","
        2 
        ",NULL,R$ 577,R$ 125,"
    R$ 690.000
    /venda"
"Avenida Oswaldo Cruz, Flamengo","
        65 m²
        ","
        1 
        ","
        2 
        ",NULL,R$ 500,R$ 170,"
    R$ 550.000
    /venda"
"Avenida Oswaldo Cruz, Flamengo","
        75 m²
        ","
        2 
        ","
        1 
        ",NULL,R$ 577,R$ 117,"
    R$ 640.000
    /venda"
"Avenida Oswaldo Cruz, Flamengo","
        70 m²
        ","
        2 
        ","
        1 
        ",NULL,R$ 577,R$ 180,"
    R$ 780.000
    /venda"
"Avenida Oswaldo Cruz, Flamengo","
        72 m²
        ","
        2 
        ","
        1 
        ",NULL,R$ 577,R$ 1.200,"
    R$ 640.000
    /venda"
"Avenida Oswaldo Cruz, Flamengo","
        98 m²
        ","
        2 
        ","
        4 
        ","
        1 
        ",R$ 750,R$ 292,"
    R$ 880.000
    /venda"
"Avenida Oswaldo Cruz, Flamengo","
        62 m²
        ","
        1 
        ","
        1 
        ","
        1 
        ",R$ 791,R$ 2.129,"
    R$ 740.000
    /venda"
"Avenida Lauro Sodré, Botafogo","
        72 m²
        ","
        2 - 3 
        ","
        1 - 3 
        ","
        1 - 2 
        ",NULL,NULL,"
    R$ 1.204.900
    /venda"
"Rua São Clemente, Botafogo","
        244 m²
        ","
        2 - 4 
        ","
        2 - 4 
        ","
        1 - 3 
        ",NULL,NULL,"
    Sob consulta
  "
"Rua Henrique de Novais, Botafogo","
        78 - 113 m²
        ","
        3 
        ","
        3 
        ","
        1 - 2 
        ",NULL,NULL,"
    Sob consulta
  "
"Avenida Oswaldo Cruz, Flamengo","
        97 m²
        ","
        2 
        ","
        3 
        ","
        1 
        ",R$ 1.020,R$ 337,"
    R$ 1.600.000
    /venda"
"Avenida Oswaldo Cruz, Flamengo","
        96 m²
        ","
        2 
        ","
        1 
        ","
        1 
        ",R$ 826,R$ 2.724,"
    R$ 890.000
    /venda"
"Avenida Oswaldo Cruz, Flamengo","
        88 m²
        ","
        2 
        ","
        2 
        ","
        1 
        ",R$ 1.200,R$ 200,"
    R$ 750.000
    /venda"
"Avenida Oswaldo Cruz, Flamengo","
        51 m²
        ","
        2 
        ","
        2 
        ","
        1 
        ",R$ 700,R$ 1.180,"
    R$ 740.000
    /venda"
